level,word,pinyin,english
4,部,bù,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc"
4,不得不,bùdébù,have no choice or option but to; cannot but; have to; can't help it; can't avoid
4,部分,bùfen,part; share; section; piece
4,不管,bùguǎn,not to be concerned; regardless of; no matter
4,不光,bùguāng,not the only one; not only
4,不仅,bùjǐn,"not just; not limited to; (as a correlative conjunction) not only (..., but also ...)"
4,不满,bùmǎn,resentful; discontented; dissatisfied
4,部门,bùmén,department; branch; section; division
4,擦,cā,"to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc); to touch; to brush (past); to shred (vegetables etc)"
4,猜,cāi,to guess
4,材料,cáiliào,material
4,参观,cānguān,to look around; to tour; to visit
4,参赛,cānsài,to compete; to take part in a competition
4,餐厅,cāntīng,dining hall; dining room; restaurant
4,操场,cāochǎng,playground; sports field; drill ground
4,查看,chákàn,to look over; to examine; to check up; to ferret out
4,茶叶,cháyè,tea; tea leaves
4,查找,cházhǎo,to search for; to look up
4,差点儿,chàdiǎnr,erhua variant of 差点; almost; nearly
4,产生,chǎnshēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate
4,厂,chǎng,factory; yard; depot; workhouse; works; (industrial) plant
4,场,chǎng,large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams; variant of 场
4,超过,chāoguò,to surpass; to exceed; to outstrip
4,车速,chēsù,vehicle speed
4,车位,chēwèi,parking spot; unloading point; garage place; stand for taxi
4,城,chéng,city walls; city; town
4,乘,chéng,ride (in a vehicle)
4,成功,chénggōng,"Chenggong or Chengkung town in Taitung County 台东县, southeast Taiwan; success; to succeed"
4,诚实,chéngshí,honest
4,成为,chéngwéi,to become; to turn into
4,乘坐,chéngzuò,to ride (in a vehicle)
4,吃惊,chījīng,to be surprised; to be startled; to be shocked
4,迟,chí,surname Chi; late; delayed; slow
4,出差,chūchāi,to go on an official or business trip
4,出口,chūkǒu,an exit; to speak; to export; (of a ship) to leave port
4,出现,chūxiàn,to appear; to arise; to emerge; to show up
4,出行,chūxíng,to go out somewhere (relatively short trip); to set off on a journey (longer trip)
4,出租,chūzū,to rent
4,厨房,chúfáng,kitchen
4,厨师,chúshī,cook; chef
4,窗,chuāng,window
4,窗户,chuānghu,window
4,吹,chuī,to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through
4,此,cǐ,this; these
4,此外,cǐwài,in addition; besides; moreover
4,从此,cóngcǐ,from now on; since then; henceforth
4,从来,cónglái,always; at all times; never (if used in negative sentence)
4,从中,cóngzhōng,from within; therefrom
4,粗,cū,coarse; rough; thick (for cylindrical objects); unfinished; vulgar; rude; crude; variant of 粗; remote; distant
4,村,cūn,village; variant of 村
4,存,cún,to exist; to deposit; to store; to keep; to survive
4,错过,cuòguò,"to miss (train, opportunity etc)"
4,错误,cuòwù,mistaken; false; wrong; error; mistake
4,答应,dāying,to answer; to respond; to answer positively; to agree; to accept; to promise
4,答,dá,to answer; to reply; to respond
4,答案,dá’àn,answer; solution
4,达到,dádào,to reach; to achieve; to attain
4,打败,dǎbài,to defeat; to overpower; to beat; to be defeated
4,打工,dǎgōng,"to work a temporary or casual job; (of students) to have a job outside of class time, or during vacation"
4,打扰,dǎrǎo,to disturb; to trouble
4,打印,dǎyìn,to affix a seal; to stamp; to print out (with a printer)
4,打折,dǎzhé,to give a discount
4,打针,dǎzhēn,to give or have an injection
4,大巴,dàbā,(coll.) large bus; coach; (abbr. for 大型巴士)
4,大大,dàdà,big and ...;
4,大夫,dàifu,doctor; physician
4,大厅,dàtīng,hall; lounge
4,大约,dàyuē,approximately; probably
4,大自然,dàzìrán,nature (the natural world)
4,待,dāi,to stay
4,戴,dài,"surname Dai; to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support"
4,袋子,dàizi,bag
4,单位,dānwèi,"unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform)"
4,当,dāng,(onom.) dong; ding dong (bell); to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at
4,当时,dāngshí,then; at that time; while
4,刀,dāo,surname Dao; knife; blade; single-edged sword; cutlass; (slang) dollar (loanword); classifier for sets of one hundred sheets (of paper); classifier for knife cuts or stabs
4,倒,dào,to invert; to place upside down or frontside back; to pour out; to tip out; to dump; inverted; upside down; reversed; to go backward; contrary to what one might expect; but; yet
4,道,dào,"road; path; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) circuit (administrative division)"
4,到底,dàodǐ,what on earth; finally; in the end
4,到来,dàolái,to arrive; arrival; advent
4,道路,dàolù,road; path; way
4,道歉,dàoqiàn,to apologize
4,得意,déyì,proud of oneself; pleased with oneself; complacent
4,等,děng,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once
4,等到,děngdào,to wait until; by the time when (sth is ready etc)
4,低,dī,low; beneath; to lower (one's head); to let droop; to hang down; to incline
4,低价,dījià,low price
4,低温,dīwēn,low temperature
4,低于,dīyú,to be lower than
4,底,dǐ,"background; bottom; base; end (of the month, year etc); remnants; (math.) radix"
4,底下,dǐxia,the location below sth; afterwards
4,地球,dìqiú,the earth
4,地址,dìzhǐ,address
4,点名,diǎnmíng,roll call; to mention sb by name; (to call or praise or criticize sb) by name
4,点头,diǎntóu,to nod
4,电动车,diàndòngchē,Electric vehicle
4,掉,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc)"
4,调查,diàochá,investigation; inquiry; to investigate; to survey; survey; (opinion) poll
4,订,dìng,to agree; to conclude; to draw up; to subscribe to (a newspaper etc); to order
4,定,dìng,to decide; to fix; to determine; to set; to order (e.g. meal, future); determined; set; fixed; decided; (of food) to be fully cooked; (of medicine) certain; sure; regular; (of clothes) ready-made
4,东部,dōngbù,the east; eastern part
4,读者,dúzhě,reader
4,堵车,dǔchē,traffic jam; (of traffic) to get congested
4,度假,dùjià,to go on holidays; to spend one's vacation
4,肚子,dùzi,belly; abdomen; stomach
4,短信,duǎnxìn,text message; SMS
4,队,duì,squadron; team; group
4,对方,duìfāng,the other person; the other side; the other party
4,对面,duìmiàn,(sitting) opposite; across (the street); directly in front; to be face to face
4,对于,duìyú,regarding; as far as (sth) is concerned; with regard to
4,队员,duìyuán,team member
4,顿,dùn,"to stop; to pause; to arrange; to lay out; to kowtow; to stamp (one's foot); at once; classifier for meals, beatings, scoldings etc: time, bout, spell, meal"
4,多么,duōme,how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent
4,多数,duōshù,majority; most
4,多样,duōyàng,diverse; diversity; manifold
4,而,ér,and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)
4,儿童,értóng,child
4,发出,fāchū,"to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)"
4,法,fǎ,variant of 法; France; French; abbr. for 法国; Taiwan pr. [Fà]; law; method; way; to emulate; (Buddhism) dharma; (abbr. for 家) the Legalists; (physics) farad (abbr. for 拉); old variant of 法
4,法律,fǎlǜ,law
4,翻译,fānyì,to translate; to interpret; translator; interpreter; translation; interpretation
4,烦,fán,to feel vexed; to bother; to trouble; superfluous and confusing; edgy
4,烦恼,fánnǎo,to be worried; to be distressed; worries
4,反对,fǎnduì,to oppose; to be against; to object to
4,方面,fāngmiàn,respect; aspect; field; side
4,方式,fāngshì,way; manner; style; mode; pattern
4,房东,fángdōng,landlord
4,房租,fángzū,rent for a room or house
4,放弃,fàngqì,to renounce; to abandon; to give up
4,放松,fàngsōng,to relax; to loosen; to ease; (in sports) to loosen up
4,费,fèi,surname Fei; to cost; to spend; fee; wasteful; expenses
4,分数,fēnshù,(exam) grade; mark; score; fraction
4,分为,fēnwéi,to divide sth into (parts); to subdivide
4,份,fèn,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分"
4,丰富,fēngfù,rich; abundant; plentiful; rich in; ample
4,风景,fēngjǐng,scenery; landscape
4,符合,fúhé,in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle
4,付,fù,surname Fu; to pay; to hand over to; classifier for pairs or sets of things
4,父母,fùmǔ,father and mother; parents
4,父女,fùnǚ,father and daughter
4,父亲,fùqīn,father; also pr. [fù qin]
4,复印,fùyìn,to photocopy; to duplicate a document
4,复杂,fùzá,complicated; complex
4,负责,fùzé,to be in charge of; to take responsibility for; to be to blame; conscientious
4,负责人,fùzérén,person in charge
4,父子,fùzǐ,father and son
4,改变,gǎibiàn,to change; to alter; to transform
4,干,gān,old variant of 干; surname Gan; dry; dried food; empty; hollow; taken in to nominal kinship; adoptive; foster; futile; in vain; (dialect) rude; blunt; (dialect) to cold-shoulder; variant of 干; (bound form) to have to do with; to concern oneself with; one of the ten heavenly stems 干; (archaic) shield
4,干杯,gānbēi,cheers!; bottoms up!
4,赶,gǎn,to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; by (a certain time)
4,敢,gǎn,to dare; daring; (polite) may I venture
4,感,gǎn,to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~
4,感动,gǎndòng,to move (sb); to touch (sb emotionally); moving
4,感觉,gǎnjué,feeling; impression; sensation; to feel; to perceive
4,赶快,gǎnkuài,quickly; at once
4,感情,gǎnqíng,emotion; sentiment; affection; feelings between two persons
4,感人,gǎnrén,touching; moving
4,赶上,gǎnshàng,to keep up with; to catch up with; to overtake; to chance upon; in time for
4,感受,gǎnshòu,to sense; perception; to feel (through the senses); to experience; a feeling; an impression; an experience
4,感谢,gǎnxiè,(express) thanks; gratitude; grateful; thankful; thanks
4,干活儿,gànhuór,erhua variant of 干活; (coll.) to work; (coll.) to be employed
4,钢琴,gāngqín,piano
4,高价,gāojià,high price
4,高考,gāokǎo,college entrance exam (especially as abbr. for 普通高等学校招生全国统一考试); (Tw) entrance exam for senior government service posts (abbr. for 公务人员高等考试)
4,高速,gāosù,high speed; expressway; highway
4,高温,gāowēn,high temperature
4,胳膊,gēbo,arm
4,歌声,gēshēng,singing voice; fig. original voice of a poet
4,歌手,gēshǒu,singer
4,各,gè,each;every;various
4,各地,gèdì,in all parts of (a country); various regions
4,各种,gèzhǒng,every kind of; all kinds of; various
4,更加,gèngjiā,more (than sth else); even more
4,工厂,gōngchǎng,factory
4,功夫,gōngfu,skill; art; kung fu; labor; effort
4,公共,gōnggòng,public; common; communal
4,功课,gōngkè,homework; assignment; task; classwork; lesson; study
4,公里,gōnglǐ,kilometer
4,公路,gōnglù,highway; road
4,工人,gōngrén,worker
4,工资,gōngzī,wages; pay
4,共同,gòngtóng,common; joint; jointly; together; collaborative
4,够,gòu,enough (sufficient); enough (too much); (coll.) (before adj.) really; (coll.) to reach by stretching out
4,购买,gòumǎi,to buy; to purchase
4,购物,gòuwù,shopping
4,估计,gūjì,to estimate; to reckon; (coll.) to suppose
4,姑娘,gūniang,girl; young woman; young lady; daughter; paternal aunt (old)
4,鼓励,gǔlì,to encourage
4,故意,gùyì,deliberately; on purpose
4,挂,guà,to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned; to make a phone call (dialect); to register or record; classifier for sets or clusters of objects; (slang) to kill; to die; to be finished; to fail (an exam)
4,关键,guānjiàn,crucial point; crux; key; crucial; pivotal
4,观看,guānkàn,to watch; to view
4,观众,guānzhòng,spectators; audience; visitors (to an exhibition etc)
4,管,guǎn,variant of 管; surname Guan; to take care (of); to control; to manage; to be in charge of; to look after; to run; to care about; tube; pipe; woodwind; classifier for tube-shaped objects; particle similar to 把 in 管...叫 constructions; writing brush; (coll.) to; towards
4,管理,guǎnlǐ,to supervise; to manage; to administer; management; administration
4,光,guāng,light; ray; bright; shiny; only; merely; used up; finished; to leave (a part of the body) uncovered
4,广播,guǎngbō,broadcast; broadcasting; to broadcast; (formal) to propagate; to publicize
4,广告,guǎnggào,to advertise; a commercial; advertisement
4,逛,guàng,to stroll; to visit
4,规定,guīdìng,to stipulate; to prescribe; to lay down; to fix; to set; (formal) rule; regulation; provision
4,国籍,guójí,nationality
4,果汁,guǒzhī,fruit juice
4,过程,guòchéng,course of events; process
4,海洋,hǎiyáng,ocean
4,害羞,hàixiū,bashful; shy
4,寒假,hánjià,winter vacation
4,汗,hàn,"perspiration; sweat; to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)"
4,航班,hángbān,(scheduled) flight; (scheduled) sailing
4,好处,hǎochù,easy to get along with; benefit; advantage; merit; gain; profit; also pr. [hǎo chù]
4,好好,hǎohǎo,well; carefully; nicely; properly
4,好笑,hǎoxiào,laughable; funny; ridiculous
4,合格,hégé,to meet the standard required; qualified; eligible (voter etc)
4,盒子,hézi,box; case
4,红包,hóngbāo,money wrapped in red as a gift; bonus payment; kickback; bribe
4,厚,hòu,thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress
4,后悔,hòuhuǐ,to regret; to feel remorse
4,互联网,hùliánwǎng,Internet
4,护士,hùshi,nurse
4,互相,hùxiāng,mutual; each other
4,话剧,huàjù,stage play; modern drama
4,怀疑,huáiyí,to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that
4,坏处,huàichù,harm; troubles
4,环保,huánbǎo,environmental protection; environmentally friendly; abbr. for 环境保护
4,回复,huífù,to reply; to recover; to return (to a previous condition); Re: in reply to (email)
4,回信,huíxìn,to reply; to write back; letter written in reply
4,回忆,huíyì,to recall; memories
4,会员,huìyuán,member
4,活,huó,to live; alive; living; work; workmanship
4,活动,huódòng,to exercise; to move about; to operate; to use connections (personal influence); loose; shaky; active; movable; activity; campaign; maneuver; behavior
4,活泼,huópō,lively; vivacious; brisk; active; (chemistry) reactive
4,火,huǒ,surname Huo; fire; urgent; ammunition; fiery or flaming; internal heat (Chinese medicine); hot (popular); classifier for military units (old); Kangxi radical 86
4,货,huò,goods; money; commodity
4,获得,huòdé,to obtain; to receive; to get
4,获奖,huòjiǎng,to win an award
4,获取,huòqǔ,to obtain; to acquire; to snatch
4,基本,jīběn,basic; fundamental; main; elementary
4,基础,jīchǔ,base; foundation; basis; basic; fundamental
4,激动,jīdòng,to move emotionally; to stir up (emotions); to excite
4,积极,jījí,active; energetic; vigorous; positive (outlook); proactive
4,积累,jīlěi,to accumulate; accumulation
4,及时,jíshí,timely; at the right time; promptly; without delay
4,寄,jì,to send; to mail; to entrust; to depend on; to attach oneself to; to live (in a house); to lodge; foster (son etc)
4,计划,jìhuà,plan; project; program; to plan; to map out
4,既然,jìrán,since; as; this being the case
4,技术,jìshù,technology; technique; skill
4,继续,jìxù,to continue; to proceed with; to go on with
4,记者,jìzhě,reporter; journalist
4,加班,jiābān,to work overtime
4,家具,jiājù,furniture
4,加快,jiākuài,to accelerate; to speed up
4,加强,jiāqiáng,to reinforce; to strengthen; to enhance
4,加上,jiāshàng,plus; to put in; to add; to add on; to add into; in addition; on top of that
4,家庭,jiātíng,family; household
4,家乡,jiāxiāng,hometown
4,加油,jiāyóu,to add oil; to top up with gas; to refuel; to accelerate; to step on the gas; (fig.) to make an extra effort; to cheer sb on
4,加油站,jiāyóuzhàn,gas station
4,家长,jiāzhǎng,head of a household; family head; patriarch; parent or guardian of a child
4,假,jiǎ,fake; false; artificial; to borrow; if; suppose; variant of 假
4,价钱,jiàqián,price
4,假日,jiàrì,holiday; non-working day
4,减,jiǎn,to lower; to decrease; to reduce; to subtract; to diminish
4,减轻,jiǎnqīng,to lighten; to ease; to alleviate
4,减少,jiǎnshǎo,to lessen; to decrease; to reduce; to lower
4,健身,jiànshēn,to exercise; to keep fit; to work out; physical exercise
4,健身房,jiànshēnfáng,gym; gymnasium
4,建议,jiànyì,to propose; to suggest; to recommend; proposal; suggestion; recommendation
4,江,jiāng,surname Jiang; river
4,将,jiāng,"will; shall; to use; to take; to checkmate; just a short while ago; (introduces object of main verb, used in the same way as 把)"
4,将来,jiānglái,in the future; future; the future
4,将要,jiāngyào,will; going to
4,奖,jiǎng,prize; award; encouragement
4,奖学金,jiǎngxuéjīn,scholarship
4,降,jiàng,to drop; to fall; to come down; to descend
4,降低,jiàngdī,to reduce; to lower; to bring down
4,降价,jiàngjià,to reduce price
4,降落,jiàngluò,to descend; to land
4,骄傲,jiāo’ào,pride; arrogance; conceited; proud of sth
4,交警,jiāojǐng,traffic police (abbr. for 察)
4,交流,jiāoliú,to exchange; exchange; communication; interaction; to have social contact (with sb)
4,郊区,jiāoqū,suburban district; outskirts; suburbs
4,交通,jiāotōng,to be connected; traffic; transportation; communications; liaison
4,教练,jiàoliàn,instructor; sports coach; trainer
4,教师,jiàoshī,teacher
4,教授,jiàoshòu,professor; to instruct; to lecture on
4,教学,jiàoxué,teaching; instruction
4,教育,jiàoyù,to educate; to teach; education
4,街道,jiēdào,street; subdistrict; residential district
4,接受,jiēshòu,to accept; to receive
4,接着,jiēzhe,to continue; to then; next
4,结果,jiéguǒ,outcome; result; conclusion; in the end; as a result; to kill; to dispatch
4,节假日,jiéjiàrì,public holiday
4,节约,jiéyuē,to economize; to conserve (resources); economy; frugal
4,结账,jiézhàng,to pay the bill; to settle accounts; also written 结帐
4,今后,jīnhòu,hereafter; henceforth; in the future; from now on
4,仅,jǐn,barely; only; merely
4,尽管,jǐnguǎn,"despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating"
4,仅仅,jǐnjǐn,barely; only; merely; only (this and nothing more)
4,紧张,jǐnzhāng,nervous; keyed up; intense; tense; strained; in short supply; scarce
4,进入,jìnrù,to enter; to join; to go into
4,进行,jìnxíng,to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute
4,禁止,jìnzhǐ,to prohibit; to forbid; to ban
4,精彩,jīngcǎi,wonderful; marvelous; brilliant
4,经济,jīngjì,economy; economic
4,京剧,jīngjù,Beijing opera
4,经历,jīnglì,experience; to experience
4,经验,jīngyàn,experience; to experience
4,景点,jǐngdiǎn,tourist attraction; scenic spot
4,景区,jǐngqū,scenic area
4,景色,jǐngsè,scenery; scene; landscape; view
4,竟然,jìngrán,unexpectedly; actually; in spite of; to one's surprise
4,竞争,jìngzhēng,to compete; competition
4,就是,jiùshì,exactly; precisely; only; simply; just; (used correlatively with 也) even; even if
4,举,jǔ,variant of 举; to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect; act; move; deed
4,举办,jǔbàn,to conduct; to hold
4,举例,jǔlì,to give an example
4,举行,jǔxíng,"to hold (a meeting, ceremony etc)"
4,聚,jù,to congregate; to assemble; to mass; to gather together; to amass; to polymerize
4,聚餐,jùcān,get-together; dinner with friends or colleagues
4,聚会,jùhuì,party; gathering; to meet; to get together
4,拒绝,jùjué,to refuse; to decline; to reject
4,距离,jùlí,distance; to be apart from
4,开玩笑,kāi wánxiào,to play a joke; to make fun of; to joke
4,看法,kànfǎ,way of looking at a thing; view; opinion
4,烤,kǎo,to roast; to grill; oven
4,考虑,kǎolǜ,to think over; to consider; consideration
4,考生,kǎoshēng,exam candidate; student whose name has been put forward for an exam
4,棵,kē,"classifier for trees, cabbages, plants etc"
4,科技,kējì,science and technology
4,咳,ké,cough
4,咳嗽,késou,to cough
4,可惜,kěxī,it is a pity; what a pity; unfortunately
4,克,kè,"abbr. for 克罗地亚, Croatia; (Tw) abbr. for 克罗埃西亚, Croatia; to be able to; to subdue; to restrain; to overcome; gram; Tibetan unit of land area, about 6 ares; Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 帝 descended from Shennong 神农 Farmer God; variant of 克; to overthrow"
4,课程,kèchéng,course; academic program
4,客气,kèqi,polite; courteous; formal; modest
4,课堂,kètáng,classroom
4,客厅,kètīng,drawing room (room for arriving guests); living room
4,肯定,kěndìng,to be certain; to be positive; assuredly; definitely; to give recognition; to affirm; affirmative (answer)
4,空,kōng,empty; air; sky; in vain
4,空气,kōngqì,air; atmosphere
4,恐怕,kǒngpà,I'm afraid that
4,空,kòng,to empty; vacant; unoccupied; space; leisure; free time
4,苦,kǔ,bitter; hardship; pain; to suffer; to bring suffering to; painstakingly
4,快餐,kuàicān,fast food; snack; quick meal
4,快递,kuàidì,express delivery
4,快速,kuàisù,fast; rapid; high-speed; quick
4,困,kùn,to trap; to surround; hard-pressed; stranded; destitute; sleepy; tired
4,垃圾,lājī,trash; refuse; garbage; (coll.) of poor quality; Taiwan pr. [lè sè]
4,辣,là,"old variant of 辣; hot (spicy); pungent; (of chili pepper, raw onions etc) to sting; to burn"
4,来不及,láibují,there's not enough time (to do sth); it's too late (to do sth)
4,来得及,láidejí,to have enough time; can do it in time; can still make it
4,懒,lǎn,variant of 懒; lazy
4,浪费,làngfèi,to waste; to squander
4,浪漫,làngmàn,romantic
4,老虎,lǎohǔ,tiger
4,老家,lǎojiā,native place; place of origin; home state or region
4,老年,lǎonián,elderly; old age; autumn of one's years
4,冷静,lěngjìng,calm; cool-headed; dispassionate; (of a place) deserted; quiet
4,理发,lǐfà,to get a haircut; to have one's hair done; to cut (sb's) hair; to give (sb) a haircut
4,理解,lǐjiě,to understand; to comprehend
4,礼貌,lǐmào,courtesy; politeness; manners; courteous; polite
4,理想,lǐxiǎng,an ideal; a dream; ideal; perfect
4,厉害,lìhai,"(used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible; intense; severe; devastating; amazing; awesome; outstanding; (of a person) stern; strict; harsh; shrewd; tough; (of an animal) fierce; (of a resemblance) striking; (of liquor or chili pepper) strong; (of bacteria) virulent"
4,力气,lìqi,strength
4,例子,lìzi,case; (for) instance; example
4,俩,liǎ,two (colloquial equivalent of 两个); both; some
4,连,lián,"surname Lian; to link; to join; to connect; continuously; in succession; including; (used with 也, 都 etc) even; company (military)"
4,联系,liánxì,variant of 联系; connection; contact; relation; to get in touch with; to integrate; to link; to touch
4,凉,liáng,"the five Liang of the Sixteen Kingdoms, namely: Former Liang 前凉 (314-376), Later Liang 后凉 (386-403), Northern Liang 北凉 (398-439), Southern Liang 南凉 (397-414), Western Liang 西凉 (400-421); cool; cold"
4,量,liáng,to measure
4,两,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)"
4,亮,liàng,bright; clear; resonant; to shine; to show; to reveal
4,列,liè,to arrange; to line up; file; series; (in data tables) column; (Tw) row
4,零花钱,línghuāqián,pocket money; allowance
4,零钱,língqián,spare change; small amount of cash; (computing) the fractional part of a number (less than one); (computing) the mantissa
4,零食,língshí,between-meal nibbles; snacks
4,另外,lìngwài,additional; in addition; besides; separate; other; moreover; furthermore
4,留,liú,old variant of 留; to leave (a message etc); to retain; to stay; to remain; to keep; to preserve
4,流,liú,"to flow; to disseminate; to circulate or spread; to move or drift; to degenerate; to banish or send into exile; stream of water or sth resembling one; class, rate or grade"
4,流利,liúlì,fluent; smooth speaking    
4,留下,liúxia,to leave behind; to stay behind; to remain; to keep; not to let (sb) go
4,旅馆,lǚguǎn,hotel
4,旅客,lǚkè,traveler; tourist
4,旅行,lǚxíng,to travel; journey; trip
4,律师,lǜshī,lawyer
4,乱,luàn,in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary
4,落,luò,to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement
4,麻烦,máfan,trouble; inconvenience; inconvenient; troublesome; annoying; to bother sb; to put sb to trouble
4,馒头,mántou,steamed roll; steamed bun; steamed bread
4,满,mǎn,Manchu ethnic group; to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented
4,毛巾,máojīn,towel
4,帽子,màozi,hat; cap; (fig.) label; bad name
4,美,měi,(bound form) the Americas (abbr. for 洲); (bound form) USA (abbr. for 美国); beautiful; very satisfactory; good; to beautify; to be pleased with oneself
4,美好,měihǎo,fine; happy; glorious; beautiful
4,美景,měijǐng,beautiful scenery
4,美丽,měilì,beautiful
4,美食,měishí,culinary delicacy; fine food; gourmet food
4,梦,mèng,dream; (bound form) to dream
4,密码,mìmǎ,cipher; secret code; password; PIN
4,免费,miǎnfèi,free (of charge)
4,面对,miànduì,to face; to confront
4,面试,miànshì,to be interviewed (as a candidate); interview
4,秒,miǎo,second (unit of time); arc second (angular measurement unit); (coll.) instantly
4,民族,mínzú,nationality; ethnic group
4,末,mò,tip; end; final stage; latter part; inessential detail; powder; dust; opera role of old man
4,母女,mǔnǚ,mother and daughter; mother-daughter
4,母亲,mǔqīn,mother; also pr. [mǔ qin]
4,母子,mǔzǐ,mother and child; parent and subsidiary (companies); principal and interest
4,目标,mùbiāo,target; goal; objective
4,目的,mùdì,purpose; aim; goal; objective
