level,word,pinyin,english
1,开,kāi,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 开尔文; abbr. for 开本, book format"
1,看,kàn,to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (a patient or illness); to depend on; to feel (that); (after a verb) to give it a try; to watch out for
1,看病,kànbìng,to visit a doctor; to see a patient
1,看见,kànjiàn, to see
1,可以,kěyǐ,can; may; possible; able to; not bad; pretty good
1,课,kè,subject; course; class; lesson; to levy; tax; form of divination
1,口,kǒu,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls"
1,块,kuài,"lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units"
1,老师,lǎoshī,teacher
1,了,le,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)"
1,冷,lěng,surname Leng; cold
1,里,lǐ,"variant of 里; lining; interior; inside; internal; also written 里; Li (surname); li, ancient measure of length, approx. 500 m; neighborhood; ancient administrative unit of 25 families; (Tw) borough, administrative unit between the township 镇 and neighborhood 邻 levels"
1,两,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)"
1,零,líng,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither
1,六,liù,six; 6
1,妈妈,māma,mama; mommy; mother
1,吗,ma,"(question particle for ""yes-no"" questions)"
1,买,mǎi,to buy; to purchase
1,卖,mài,to sell; to betray; to spare no effort; to show off or flaunt
1,忙,máng,busy; bustling
1,猫,māo,cat; (dialect) to hide oneself; (coll.) modem
1,没事,méishì,have nothing to do; okay; all right
1,没有,méiyǒu,haven't; hasn't; doesn't exist; to not have; to not be
1,妹妹,mèimei,younger sister; young woman
1,们,men,suffix used to form plural of personal pronouns and nouns referring to people
1,米饭,mǐfàn,(cooked) rice
1,明年,míngnián,next year
1,明天,míngtiān,tomorrow
1,名字,míngzi,name (of a person or thing)
1,哪,nǎ,how; which
1,哪个,nǎge,which one
1,哪里,nǎlǐ,where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment; also written 哪里
1,哪儿,nǎr,where?; wherever; anywhere; somewhere; (used in rhetorical questions) how can ...?; how could ...?
1,哪些,nǎxiē,which ones?; who?; what?
1,那,nà,"(specifier) that; the; those (colloquial pr. [nèi]); (pronoun) that (referring to persons, things or situations); then (in that case)"
1,那边,nàbiān,over there; yonder
1,那里,nàlǐ,there; that place
1,那儿,nàr,there
1,那些,nàxiē,those
1,男,nán,"male; Baron, lowest of five orders of nobility 位"
1,男朋友,nánpéngyou,boyfriend
1,呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation"
1,能,néng,surname Neng; can; to be able to; might possibly; ability; (physics) energy
1,你们,nǐmen,you (plural)
1,年,nián,surname Nian; year; grain; harvest (old); variant of 年
1,您,nín,"you (courteous, as opposed to informal 你)"
1,牛奶,niúnǎi,cow's milk
1,女,nǚ,female; woman; daughter
1,女儿,nǚér,daughter
1,女朋友,nǚpéngyou,girlfriend
1,女士,nǚshì,lady; madam; Miss; Ms
1,朋友,péngyou,friend
1,便宜,piányi,cheap; inexpensive; small advantages; to let sb off lightly
1,漂亮,piàoliang,pretty; beautiful; handsome; good-looking
1,苹果,píngguǒ,apple
1,起床,qǐchuáng,to get out of bed; to get up
1,千,qiān,thousand; see 秋千
1,前,qián,front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly
1,钱,qián,money; coin
1,请,qǐng,to ask; to invite; please (do sth); to treat (to a meal etc); to request
1,去年,qùnián,last year
1,热,rè,to warm up; to heat up; hot (of weather); heat; fervent
1,人,rén,person; people
1,认识,rènshi,to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition
1,日,rì,"abbr. for 本, Japan; sun; day; date, day of the month"
1,三,sān,surname San; three; 3
1,商店,shāngdiàn,store; shop
1,上,shàng,(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above
1,上班,shàngbān,to go to work; to be on duty; to start work; to go to the office
1,上课,shàngkè,to go to class; to attend class; to go to teach a class
1,上学,shàngxué,to go to school; to attend school
1,少,shǎo,few; less; to lack; to be missing; to stop (doing sth); seldom
1,什么,shénme,what?; something; anything
1,生病,shēngbìng,to fall ill
1,十,shí,ten; 10
1,时候,shíhou,time; length of time; moment; period
1,事,shì,matter; thing; item; work; affair
1,是,shì,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion); variant of 是
1,手机,shǒujī,cell phone; mobile phone
1,书,shū,abbr. for 书经; book; letter; document; to write
1,书店,shūdiàn,bookstore
1,水,shuǐ,surname Shui; water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes
1,水果,shuǐguǒ,fruit
1,睡,shuì,to sleep; to lie down
1,睡觉,shuìjiào,to go to bed; to sleep
1,说,shuō,to speak; to talk; to say; to explain; to comment; to scold; to tell off; (bound form) theory; doctrine; variant of 说
1,说话,shuōhuà,to speak; to say; to talk; to gossip; to tell stories; talk; word
1,四,sì,four; 4; quadr-. quadrangle
1,岁,suì,"variant of 岁, year; years old; classifier for years (of age); year; year (of crop harvests)"
1,它,tā,it
1,她,tā,she
1,他们,tāmen,they; them (for males and mixed gender)
1,它们,tāmen,they; them (for animals and plants)
1,她们,tāmen,they; them (for females)
1,天气,tiānqì,weather
1,听,tīng,"to listen to; to hear; to heed; to obey; a can (loanword from English ""tin""); classifier for canned beverages; to let be; to allow (Taiwan pr. [tìng]); (literary) to administer; to deal with (Taiwan pr. [tìng])"
1,听见,tīngjiàn,to hear
1,同学,tóngxué,to study at the same school; fellow student; classmate
1,外,wài,outside; in addition; foreign; external
1,外边,wàibian,outside; outer surface; abroad; place other than one's home
1,玩,wán,to play; to have fun; to trifle with; toy; sth used for amusement; curio or antique (Taiwan pr. [wàn]); to keep sth for entertainment; variant of 玩; Taiwan pr. [wàn]
1,晚,wǎn,evening; night; late
1,晚饭,wǎnfàn,evening meal; dinner; supper
1,晚上,wǎnshang,evening; night; in the evening
1,问,wèn,to ask; to inquire
1,问题,wèntí,question; problem; issue; topic
1,我,wǒ,I; me
1,我们,wǒmen,we; us; ourselves; our
1,五,wǔ,five; 5 
1,午饭,wǔfàn,lunch
1,喜欢,xǐhuan,to like; to be fond of
1,下班,xiàbān,to finish work; to get off work
1,下课,xiàkè,to finish class; to get out of class; (fig.) (esp. of a sports coach) to be dismissed; to be fired
1,下午,xiàwǔ,afternoon; p.m.
1,先生,xiānsheng,teacher; gentleman; sir; mister (Mr.); husband; (dialect) doctor
1,现在,xiànzài,now; at present; at the moment; modern; current; nowadays
1,想,xiǎng,to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of)
1,小,xiǎo,small; tiny; few; young
1,小朋友,xiǎopéngyǒu,child
1,小时,xiǎoshí,hour
1,小学,xiǎoxué,elementary school; primary school
1,小学生,xiǎoxuéshēng,primary school student
1,些,xiē,"classifier indicating a small amount or small number greater than 1: some, a few, several"
1,谢谢,xièxie,to thank; thanks; thank you
1,新,xīn,abbr. for Xinjiang 疆 or Singapore 坡; surname Xin; new; newly; meso- (chemistry)
1,星期,xīngqī,week; day of the week; Sunday
1,星期日,xīngqīrì,Sunday
1,星期天,xīngqītiān,Sunday
1,学生,xuéshēng,student; schoolchild
1,学习,xuéxí,to learn; to study
1,学校,xuéxiào,school
1,雪,xuě,surname Xue; snow; (literary) to wipe away (a humiliation etc)
1,要,yào,to want; to need; to ask for; will; shall; about to; need to; should; if (same as 是); (bound form) important
1,也,yě,surname Ye; (adverb) also; both ... and ... (before predicates only); (literary) particle having functions similar to 啊
1,一,yī,"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yāo] for greater clarity when spelling out numbers digit by digit"
1,衣服,yīfu,clothes
1,医生,yīshēng,doctor
1,医院,yīyuàn,hospital
1,一下,yíxià,a bit; a moment; once
1,椅子,yǐzi,chair
1,一点儿,yìdiǎnr, a little; a bit; somewhat; erhua variant of 一点
1,一些,yìxiē,some; a few; a little; (following an adjective) slightly ...er
1,有,yǒu,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 意 intentional)
1,有的,yǒude,(there are) some (who are...); some (exist)
1,有点儿,yǒudiǎnr,slightly; a little; somewhat
1,雨,yǔ,rain
1,元,yuán,surname Yuan; the Yuan or Mongol dynasty (1279-1368); currency unit (esp. Chinese yuan); first; original; primary; fundamental; constituent; part; era (of a reign); meta- (prefix); (math.) argument; variable; (Tw) (geology) eon
1,月,yuè,moon; month; monthly
1,再,zài,"again; once more; re-; second; another; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也 or 都 for emphasis)"
1,在,zài,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)
1,再见,zàijiàn,goodbye; see you again later
1,早,zǎo,early; morning; Good morning!; long ago; prematurely
1,早饭,zǎofàn,breakfast
1,早上,zǎoshang,early morning
1,怎么,zěnme,how?; what?; why?; variant of 怎么
1,怎么样,zěnmeyàng,how?; how about?; how was it?; how are things?
1,找,zhǎo,to look for; to find; to treat (an illness); to fetch; to get
1,这,zhè,"(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhèi], esp. in Beijing)"
1,这个,zhège,this; this one
1,这里,zhèlǐ,variant of 这里; here
1,这儿,zhèr,here
1,这些,zhèxiē,these; those
1,真,zhēn,really; truly; indeed; real; true; genuine
1,知道,zhīdào,to know; to become aware of; also pr. [zhī dao]
1,中国,Zhōngguó,China
1,中文,Zhōngwén,Chinese language
1,中午,zhōngwǔ,noon; midday
1,中学,zhōngxué,middle school
1,中学生,zhōngxuéshēng,middle-school student; high school student
1,住,zhù,"to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)"
1,桌子,zhuōzi,table; desk
1,字,zì,letter; symbol; character; word; courtesy or style name traditionally given to males aged 20 in dynastic China
1,昨天,zuótiān,yesterday
1,做,zuò,"to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)"
